customer_id,customer_name,country,state,city,industry,account_status,tax_id,email,phone,created_date,last_updated_date,owner_id
1,"Cunningham, Stewart and Green",United States,Texas,Johnfurt,Semiconductors,Inactive,TAX972064,emilyevans@hickman-walls.com,599.711.8384x251,2022-09-22,2023-01-22,8
2,Moore-Bass,India,Virginia,Cherylhaven,Manufacturing,Active,TAX189814,contrerasangela@garcia.com,001-282-344-9353x4874,2023-09-23,2023-10-28,69
3,"Henderson, Hill and Smith",Germany,Wyoming,Lake Tina,Software,Prospect,TAX598369,joycearnold@hoffman-rodriguez.com,+1-605-798-2620,2024-01-31,2024-04-24,34
4,Nolan and Sons,United States,Utah,Lake Curtis,Manufacturing,Inactive,TAX322086,vdickson@frost.com,(360)825-6342,2024-01-10,2024-12-28,26
5,Garrison and Sons,Germany,Illinois,Baileybury,Healthcare,Prospect,TAX781446,andrewlee@ramirez-jones.com,(386)885-0142x940,2023-02-04,2023-09-16,67
6,Chandler-Edwards,United States,Rhode Island,South Rachelborough,Software,Active,TAX167136,bradley60@frost.com,(861)659-5148x465,2022-11-24,2022-12-04,76
7,"Martinez, Fisher and Bentley",United States,Utah,New Ashley,Manufacturing,Active,TAX107540,akelley@mitchell-jordan.org,+1-757-377-3872x148,2021-05-26,2022-05-23,8
8,Chambers and Sons,India,Illinois,North Brandon,Semiconductors,Inactive,TAX174299,xcarr@gibson.org,567.463.2016,2023-11-19,2024-03-19,36
9,"Holmes, Williams and Wright",United States,Delaware,Andersonmouth,Software,Prospect,TAX238739,stephanie79@mcclain.info,(677)943-4873,2024-03-15,2024-12-31,61
10,Reeves and Sons,India,Louisiana,Luisside,Healthcare,Inactive,TAX299659,taylorjesse@hernandez.com,+1-876-903-6690,2021-07-13,2021-08-31,56
11,Bender LLC,India,Wisconsin,Castanedachester,Healthcare,Inactive,TAX864491,tracynelson@johnson-rogers.biz,001-427-929-8069x9016,2021-04-21,2022-03-31,13
12,Williams Group,India,Massachusetts,South Mark,Retail,Inactive,TAX939482,aramirez@conley-ruiz.net,4535100330,2021-08-12,2021-12-17,25
13,Wells Inc,India,Oregon,South Holly,Healthcare,Active,TAX542374,gary91@oconnell.org,3496663193,2022-01-11,2022-06-02,60
14,"Burke, Martinez and Riggs",India,Arizona,Amandastad,Semiconductors,Inactive,TAX947272,huntermatthew@short-garcia.com,+1-672-762-8498x7769,2024-02-02,2024-03-23,7
15,Rivas Inc,United States,Louisiana,Sanchezmouth,Manufacturing,Active,TAX197793,frogers@white-lewis.com,949-948-0831x36783,2022-04-30,2022-07-24,53
16,Mcguire-Davis,United States,Iowa,Holtport,Software,Inactive,TAX161483,thomas85@barajas-pierce.com,001-574-544-3135x182,2021-12-04,2022-06-16,1
17,"Washington, Hardy and Bray",Canada,North Dakota,Tinaborough,Finance,Inactive,TAX399105,jeremy24@erickson.com,6089427109,2023-05-17,2024-05-07,72
18,Alexander-Lopez,United States,Arkansas,Shelleyfort,Healthcare,Active,TAX299122,shortrichard@ray.com,(529)841-3186,2022-08-31,2022-12-20,8
19,Kerr-Evans,United States,Pennsylvania,Torreston,Manufacturing,Active,TAX884309,mezajared@baker.com,928.612.0679,2022-10-05,2022-11-03,7
20,Hall Ltd,United States,Maine,Jonesbury,Manufacturing,Prospect,TAX265080,kristin93@wilson-walker.com,621-802-4994x717,2021-04-27,2022-01-12,11
21,Mason-Snyder,Japan,Colorado,South Jessicaview,Semiconductors,Prospect,TAX171262,davissuzanne@matthews.com,001-802-978-7429,2024-10-14,2024-12-31,52
22,Harrison Group,India,Michigan,Elizabethburgh,Manufacturing,Active,TAX707040,robert74@landry.info,954-851-6808,2024-05-02,2024-05-22,80
23,Lopez LLC,India,South Carolina,Garrettton,Retail,Prospect,TAX692683,josephanderson@kim-wolfe.com,3935248086,2023-12-07,2024-05-16,34
24,Murray Inc,India,Tennessee,South Sarah,Retail,Inactive,TAX350280,william46@baird-sanchez.net,(763)698-2146,2022-06-28,2023-01-16,17
25,Campbell LLC,United States,Pennsylvania,Grimesmouth,Finance,Inactive,TAX431535,jreed@bennett.com,001-463-960-5766,2021-05-29,2021-06-02,59
26,Martinez PLC,United States,Michigan,Port Meganville,Manufacturing,Active,TAX176819,jsmith@pitts-booker.com,345.596.1586x5780,2024-01-07,2024-04-25,65
27,"Cohen, Mitchell and Perez",India,Colorado,Goodville,Finance,Active,TAX356150,tjackson@williams.com,(856)523-8692x221,2023-01-27,2023-06-21,21
28,Durham-Thomas,United States,New Jersey,Stevetown,Manufacturing,Prospect,TAX417212,rsantana@moore.org,664-674-3671x3695,2024-06-06,2024-12-31,68
29,Spence Ltd,India,Montana,Alanton,Manufacturing,Inactive,TAX795613,swall@lawson.com,+1-339-642-1047x0952,2021-08-01,2021-10-08,34
30,Burgess-Thompson,India,Florida,Alyssaview,Semiconductors,Prospect,TAX680097,jonathansummers@coffey-phillips.com,871-223-6851,2021-11-15,2022-04-03,37
31,Herrera-Gibson,United States,Utah,Brendastad,Retail,Inactive,TAX313487,leonardthomas@henson.com,+1-517-446-1200x4711,2024-11-08,2024-12-31,34
32,Chavez-Santiago,United States,West Virginia,Matthewsberg,Finance,Active,TAX196781,fpena@russell.com,277.835.1585,2024-07-23,2024-12-31,36
33,Lopez-Martinez,India,New Jersey,Lake Jasontown,Finance,Active,TAX768061,buchananjohn@buchanan.com,001-683-493-3529x04228,2022-06-21,2022-09-11,57
34,Guerrero Inc,United States,Florida,West Kristybury,Healthcare,Prospect,TAX110139,alfred40@harmon.com,001-617-975-8917x8390,2021-08-18,2021-09-25,20
35,"Maynard, Brown and Mendoza",United States,Montana,Parksfort,Finance,Prospect,TAX679364,fjones@franklin-jones.com,+1-398-356-9847x896,2021-10-31,2022-06-08,17
36,"Curtis, Mack and Le",India,Indiana,Hayesbury,Finance,Active,TAX475190,dmorgan@perry-davis.biz,245-727-1111x61528,2022-03-07,2023-02-19,32
37,"Martinez, Gomez and Ortega",United States,Wisconsin,Parrishton,Finance,Prospect,TAX526117,caroline51@romero.com,(285)614-9368x998,2024-06-25,2024-09-12,31
38,White Ltd,Japan,Wisconsin,Sandrastad,Software,Inactive,TAX125990,whitedouglas@morales.com,683-766-7525,2022-01-03,2022-06-22,53
39,"Carlson, Ware and Moore",Japan,Wisconsin,Lake Christophermouth,Retail,Active,TAX379766,ctucker@nelson-fischer.com,(261)249-7840x369,2021-11-23,2022-11-17,14
40,Turner and Sons,India,Wyoming,Port Jonathan,Semiconductors,Inactive,TAX333238,david76@anderson.com,885.816.0607x15969,2022-02-13,2022-10-06,45
41,Wilson-Smith,India,Massachusetts,Port Stacey,Software,Active,TAX124813,xcollier@kim.com,(596)781-6453x52181,2024-09-13,2024-12-20,52
42,Luna-Fuentes,India,Georgia,North Dwayne,Semiconductors,Inactive,TAX468203,glennhernandez@jones.info,001-699-279-9552x71774,2024-08-06,2024-12-31,52
43,Romero-Collins,United States,New Hampshire,North Miguelport,Manufacturing,Inactive,TAX128941,newmantiffany@gilbert.biz,298.907.9359x782,2021-08-25,2022-01-05,23
44,Shepherd LLC,United States,Virginia,New Debbieton,Finance,Active,TAX213668,jasmineritter@mills.com,(465)790-5151x8644,2024-05-06,2024-12-14,45
45,Aguilar and Sons,Germany,Minnesota,Tammyfurt,Finance,Inactive,TAX735656,brookehurley@hansen-schneider.com,(481)568-5054,2023-11-14,2024-01-12,50
46,Meza-Tucker,Japan,Iowa,East Chris,Software,Inactive,TAX146542,romeroamber@stephenson.org,(296)822-2927,2024-12-22,2024-12-31,1
47,Rhodes-Young,United States,New Hampshire,Karenmouth,Manufacturing,Prospect,TAX854377,amandacollins@mckee-lee.org,274.968.8623x924,2024-10-05,2024-12-31,47
48,Spencer-Garcia,United States,North Dakota,West Christopherburgh,Retail,Inactive,TAX753425,shannon82@davis-lozano.info,(206)706-8536x153,2022-10-05,2023-09-09,16
49,Combs Ltd,Germany,Michigan,East Benjamin,Finance,Prospect,TAX424308,ihorton@harrison.com,232-589-8614x341,2024-09-27,2024-12-31,42
50,Fowler-Dean,United States,California,Port Rebeccaside,Finance,Prospect,TAX233470,chenbailey@thomas.com,001-262-818-5188,2022-01-28,2022-08-31,49
51,Williams-Hughes,United States,Mississippi,Juliestad,Software,Prospect,TAX696750,cooperjessica@garcia.com,3589527722,2022-09-09,2023-04-04,71
