order_id,customer_id,order_date,product_category,order_amount,currency,order_status,region
1,2,2022-12-01,Tools,160170.16,INR,Cancelled,APAC
2,2,2023-04-02,Tools,282021.89,INR,Pending,APAC
3,2,2024-05-26,Training,165856.29,INR,Cancelled,APAC
4,2,2023-10-14,Tools,30750.97,INR,Cancelled,APAC
5,2,2021-02-16,Consulting,73884.74,USD,Completed,APAC
6,2,2023-11-21,Training,193493.49,INR,Pending,ASIA
7,2,2023-04-24,Consulting,290230.23,USD,Pending,APAC
8,2,2024-08-20,Tools,143253.81,INR,Cancelled,Global
9,2,2021-02-06,Training,121026.62,INR,Pending,APAC
10,2,2023-11-26,Consulting,389079.12,INR,Pending,APAC
11,2,2021-07-10,Tools,317930.71,INR,Completed,APAC
12,2,2024-12-13,Tools,375005.29,INR,Completed,APAC
13,2,2024-09-27,Consulting,205344.3,EUR,Cancelled,APAC
14,2,2021-02-06,IP Licensing,84405.03,USD,Cancelled,APAC
15,3,2021-07-26,IP Licensing,176163.63,INR,Cancelled,EMEA
16,3,2024-08-02,Consulting,124784.59,INR,Pending,EMEA
17,3,2023-04-28,Training,105663.66,INR,Completed,EMEA
18,3,2022-03-10,Consulting,7682.22,INR,Cancelled,EMEA
19,3,2024-07-23,Consulting,368293.84,INR,Pending,EMEA
20,4,2022-10-15,Tools,225286.64,USD,Completed,
21,4,2024-10-12,Support,452397.79,INR,Cancelled,
22,4,2024-02-29,Consulting,360397.77,EUR,Pending,
23,4,2021-11-20,IP Licensing,114090.24,INR,Completed,
24,4,2022-06-26,IP Licensing,305657.68,INR,Cancelled,Unknown
25,4,2024-07-28,Tools,232918.41,USD,Pending,Global
26,4,2024-07-28,Support,351713.41,EUR,Completed,
27,,2021-08-18,Consulting,39794.64,USD,Pending,
28,4,2021-01-28,IP Licensing,296148.97,INR,Cancelled,
29,4,2024-08-19,Training,186333.87,INR,Pending,
30,4,2024-01-21,Support,225825.65,INR,Cancelled,
31,9999999,2023-04-04,Support,283039.39,INR,Cancelled,
32,5,2024-12-09,Support,33014.83,USD,Cancelled,EMEA
33,9999999,2024-05-23,Tools,318109.61,INR,Completed,EMEA
34,5,2023-06-26,Consulting,39494.89,INR,Completed,EMEA
35,5,2021-01-31,Support,433648.34,EUR,Pending,EMEA
36,5,2023-02-16,IP Licensing,376528.21,EUR,Cancelled,EMEA
37,6,2021-03-09,Support,268580.68,INR,Cancelled,Unknown
38,6,2023-11-23,Support,272733.15,INR,Pending,
39,6,2023-04-18,Consulting,216910.98,USD,Completed,ASIA
40,6,2022-09-29,IP Licensing,46507.78,USD,Pending,
41,6,2022-09-04,Training,125802.92,INR,Cancelled,
42,6,2022-08-02,Support,138939.31,USD,Completed,
43,6,2024-12-29,Consulting,344134.45,INR,Pending,
44,6,2022-08-13,Training,36579.97,INR,Completed,
45,6,2023-12-19,Consulting,480336.5,USD,Pending,
46,6,2021-03-10,Consulting,298905.23,USD,Completed,
47,6,2021-03-29,Tools,201187.3,INR,Pending,
48,6,2024-05-23,Consulting,260532.12,EUR,Cancelled,
49,7,2022-09-24,Training,413614.18,EUR,Completed,
50,7,2022-01-23,Tools,122430.66,INR,Completed,
51,7,2023-04-12,IP Licensing,64173.72,USD,Pending,
52,7,2021-07-03,Consulting,12433.32,INR,Completed,
53,7,2024-03-26,IP Licensing,189835.06,INR,Completed,
54,7,2022-04-23,Consulting,356867.88,EUR,Completed,
55,7,2022-11-15,Support,386915.16,INR,Completed,
